Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1774836,The Palace of Illusions,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""0385515995""","=""9780385515993""",2,4.19,Doubleday,Hardcover,360,2008,2008,2022/12/26,2021/03/01,,,read,,,,1,0
45865916,"The Body Under the Piano (Aggie Morton, Mystery Queen, #1)",Marthe Jocelyn,"Jocelyn, Marthe",Isabelle Follath,"=""0735265461""","=""9780735265462""",0,3.91,Tundra Books,Hardcover,325,2020,2020,,2022/12/25,to-read,to-read (#1097),to-read,,,,0,0
57945316,"Babel, Or the Necessity of Violence: An Arcane History of the Oxford Translators’ Revolution",R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",5,4.36,Harper Voyager,Hardcover,545,2022,2022,2022/12/23,2022/12/11,,,read,,,,1,0
22245334,"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",David Graeber,"Graeber, David",,"=""1612193749""","=""9781612193748""",0,4.00,Melville House,Hardcover,261,2015,2013,,2022/12/20,to-read,to-read (#1096),to-read,,,,0,0
11289729,"Sacred Economics: Money, Gift, and Society in the Age of Transition",Charles Eisenstein,"Eisenstein, Charles",,"=""1583943978""","=""9781583943977""",0,4.25,EVOLVER EDITIONS,Paperback,496,2011,2011,,2022/12/20,to-read,to-read (#1095),to-read,,,,0,0
164531,The Railway Children,E. Nesbit,"Nesbit, E.",,"=""0486410226""","=""9780486410227""",0,4.02,Dover Publications,Paperback,188,2000,1906,,2022/12/18,,,read,,,,1,0
2761,The Denial of Death,Ernest Becker,"Becker, Ernest","Daniel Goleman, Sam Keen","=""0684832402""","=""9780684832401""",0,4.12,Free Press,Paperback,336,1997,1973,,2021/01/27,academic,academic (#30),academic,,,,0,0
74642,Marx: A Very Short Introduction,Peter Singer,"Singer, Peter",,"=""0192854054""","=""9780192854056""",0,3.71,Oxford University Press,Paperback,108,2001,1980,,2022/09/05,academic,academic (#29),academic,,,,0,0
53031823,The Philosophy of Science: A Contemporary Introduction,Alexander Rosenberg,"Rosenberg, Alexander",Lee C. McIntyre,"=""0429447264""","=""9780429447266""",0,3.75,Routledge,Unknown Binding,,2019,,,2022/07/23,academic,academic (#28),academic,,,,0,0
46815,Wasted: A Memoir of Anorexia and Bulimia,Marya Hornbacher,"Hornbacher, Marya",,"=""0060858796""","=""9780060858797""",0,4.01,Harper Perennial,Paperback,298,2006,1997,,2022/10/28,non-fiction,non-fiction (#39),non-fiction,,,,0,0
6617037,"Debt: The First 5,000 Years",David Graeber,"Graeber, David",,"=""1933633867""","=""9781933633862""",0,4.20,Melville House Publishing,Hardcover,534,2011,2011,,2022/03/30,academic,academic (#27),academic,,,,0,0
25658482,"At the Existentialist Café: Freedom, Being, and Apricot Cocktails",Sarah Bakewell,"Bakewell, Sarah",,"=""0701186585""","=""9780701186586""",0,4.24,Chatto & Windus,Hardcover,440,2016,2016,,2022/09/17,academic,academic (#26),academic,,,,0,0
59012057,Bad Gays: A Homosexual History,Huw Lemmey,"Lemmey, Huw",Ben Miller,"=""1839763272""","=""9781839763274""",0,3.80,Verso,Hardcover,368,2022,2022,,2022/12/11,non-fiction,non-fiction (#38),non-fiction,,,,0,0
58330567,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,"Brown, Brené",Gavin Aung Than,"=""0399592555""","=""9780399592553""",0,4.36,Random House,Hardcover,301,2021,2021,,2022/12/11,non-fiction,non-fiction (#37),non-fiction,,,,0,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.15,Knopf,Hardcover,255,2022,2022,,2022/12/11,fiction,fiction (#131),fiction,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0593321200""","=""9780593321201""",0,4.35,Knopf,Hardcover,401,2022,2022,,2022/12/11,to-read,to-read (#1094),to-read,,,,0,0
49127550,Modern Family: The Untold Oral History of One of Television's Groundbreaking Sitcoms,Marc   Freeman,"Freeman, Marc",,"=""1250260035""","=""9781250260031""",0,4.29,St. Martin's Press,Hardcover,528,2020,2020,,2022/12/11,to-read,to-read (#1093),to-read,,,,0,0
14241,The Liars' Club,Mary Karr,"Karr, Mary",,"=""0143035746""","=""9780143035749""",0,3.93,Penguin Books,Paperback,320,2005,1995,,2022/12/09,non-fiction,non-fiction (#36),non-fiction,,,,0,0
52842983,The Road to Conscious Machines: The Story of AI,Michael Wooldridge,"Wooldridge, Michael",,"=""0241396743""","=""9780241396742""",0,4.17,Pelican,Hardcover,416,2020,2021,,2022/12/08,academic,academic (#25),academic,,,,0,0
58776211,Waiting in the Sky,Keith A. Pearson,"Pearson, Keith A.",,"=""""","=""""",0,4.42,,Kindle Edition,412,2021,2021,,2022/10/27,currently-reading,currently-reading (#2),currently-reading,,,,1,0
96358,Batman: The Killing Joke,Alan Moore,"Moore, Alan","Brian Bolland, Tim Sale","=""0930289455""","=""9780930289454""",5,4.37,DC Comics,Paperback,50,1995,1988,2022/11/05,2022/11/05,,,read,,,,1,0
62069739,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,"=""""","=""""",4,4.15,New York Review Books,Kindle Edition,,2022,2019,2022/11/04,2022/10/31,,,read,,,,1,0
57539677,Case Study,Graeme Macrae Burnet,"Burnet, Graeme Macrae",,"=""""","=""9781913393199""",0,3.70,Saraband,Hardcover,278,2021,2021,,2022/10/31,to-read,to-read (#1092),to-read,,,,0,0
384597,Arcadia,Tom Stoppard,"Stoppard, Tom",,"=""0571169341""","=""9780571169344""",0,4.14,Faber  Faber,Paperback,97,1994,1993,,2022/10/29,to-read,to-read (#1091),to-read,,,,0,0
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,"=""0316440884""","=""9780316440882""",0,4.11,Orbit,Paperback,560,2018,2017,,2022/10/28,to-read,to-read (#1090),to-read,,,,0,0
